rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
166,14,8078,8135,2.42,7333.98,0.0364
167,33,5701,5775,3.12,7331.47,0.0364
168,44,8046,8121,3.17,7189.97,0.0357
169,55,568,656,3.71,7122.25,0.0354
170,59,4383,4453,2.96,7077.61,0.0351
171,25,4934,4959,1.08,7015.25,0.0348
172,3,846,905,2.5,6990.54,0.0347
173,20,4885,4948,2.67,6970.8,0.0346
174,1,1183,1245,2.62,6958.19,0.0346
175,40,4358,4431,3.08,6910.99,0.0343
176,17,7914,7941,1.17,6789.44,0.0337
177,30,4430,4455,1.08,6748.95,0.0335
178,6,6,79,3.08,6707.89,0.0333
179,19,4382,4441,2.5,6677.3,0.0332
180,31,1193,1208,0.67,6660.12,0.0331
181,58,8239,8265,1.12,6651.6,0.033
182,9,760,847,3.67,6620.06,0.0329
183,7,5029,5079,2.12,6549.44,0.0325
184,29,4886,4944,2.46,6438.96,0.032
185,4,5727,5774,2.0,6419.27,0.0319
186,10,1649,1700,2.17,6359.76,0.0316
187,6,318,329,0.5,6332.62,0.0314
188,32,158,233,3.17,6316.52,0.0314
189,19,0,7,0.33,6313.87,0.0314
190,1,1351,1433,3.46,6239.91,0.031
191,52,4910,4949,1.67,6193.66,0.0308
192,37,40,103,2.67,6180.2,0.0307
193,11,1193,1265,3.04,6174.49,0.0307
194,55,4382,4429,2.0,6154.51,0.0306
195,43,5080,5126,1.96,6078.1,0.0302
196,51,7818,7831,0.58,6060.28,0.0301
197,58,952,1001,2.08,6050.28,0.03
198,29,8095,8154,2.5,6028.69,0.0299
199,19,62,78,0.71,6007.15,0.0298
200,16,4527,4598,3.0,5976.64,0.0297
201,40,8598,8623,1.08,5890.38,0.0292
202,14,39,46,0.33,5781.55,0.0287
203,29,509,583,3.12,5738.13,0.0285
204,13,30,91,2.58,5675.44,0.0282
205,44,5700,5749,2.08,5662.35,0.0281
206,56,7627,7680,2.25,5610.88,0.0279
207,6,4383,4455,3.04,5601.98,0.0278
208,57,8263,8276,0.58,5581.37,0.0277
209,25,1423,1438,0.67,5530.87,0.0275
210,7,8263,8327,2.71,5499.86,0.0273
211,12,1672,1686,0.62,5473.53,0.0272
212,22,8682,8691,0.42,5420.02,0.0269
213,21,1206,1229,1.0,5416.21,0.0269
214,29,8728,8736,0.38,5409.44,0.0269
215,8,583,600,0.75,5402.72,0.0268
216,39,31,89,2.46,5374.3,0.0267
217,4,8150,8167,0.75,5313.57,0.0264
218,26,8343,8352,0.42,5303.99,0.0263
219,24,1207,1221,0.62,5254.33,0.0261
220,26,4910,4968,2.46,5203.65,0.0258
221,36,7985,7994,0.42,5171.42,0.0257
222,50,689,752,2.67,5141.15,0.0255
223,54,183,190,0.33,5100.86,0.0253
224,18,4864,4931,2.83,5092.67,0.0253
225,51,4239,4286,2.0,5081.8,0.0252
226,38,5100,5103,0.17,4975.22,0.0247
227,2,519,535,0.71,4954.14,0.0246
228,28,7855,7902,2.0,4858.55,0.0241
229,49,5319,5376,2.42,4747.29,0.0236
230,3,8645,8695,2.12,4689.1,0.0233
231,15,8647,8670,1.0,4619.57,0.0229
232,28,8719,8753,1.46,4568.11,0.0227
233,39,8728,8737,0.42,4549.16,0.0226
234,56,7771,7807,1.54,4503.68,0.0224
235,9,7863,7890,1.17,4498.6,0.0223
236,23,5559,5653,3.96,4458.34,0.0221
237,47,4549,4595,1.96,4424.62,0.022
238,23,4886,4909,1.0,4422.18,0.022
239,17,135,168,1.42,4412.33,0.0219
240,31,5725,5773,2.04,4392.31,0.0218
241,21,5053,5079,1.12,4358.07,0.0216
242,48,7406,7422,0.71,4354.29,0.0216
243,34,8055,8095,1.71,4352.45,0.0216
244,35,5917,5942,1.08,4326.92,0.0215
245,34,3829,3924,4.0,4314.46,0.0214
246,24,4405,4438,1.42,4305.0,0.0214
247,20,679,726,2.0,4255.66,0.0211
248,17,4934,4948,0.62,4251.66,0.0211
249,37,4911,4933,0.96,4225.89,0.021
250,26,8719,8743,1.04,4210.51,0.0209
251,24,5895,5943,2.04,4201.62,0.0209
252,17,5869,5895,1.12,4198.61,0.0208
253,13,4429,4455,1.12,4181.5,0.0208
254,27,8431,8479,2.04,4177.19,0.0207
255,7,7936,7987,2.17,4166.9,0.0207
256,59,7879,7917,1.62,4148.33,0.0206
257,14,4527,4550,1.0,4131.15,0.0205
258,56,8705,8754,2.08,4117.94,0.0204
259,60,5702,5797,4.0,4102.74,0.0204
260,3,7745,7794,2.08,3963.86,0.0197
261,1,5774,5799,1.08,3953.85,0.0196
262,57,6207,6252,1.92,3952.57,0.0196
263,42,8081,8129,2.04,3896.58,0.0193
264,16,7743,7793,2.12,3877.93,0.0193
265,28,3877,3975,4.12,3830.44,0.019
266,37,5894,5964,2.96,3815.3,0.0189
267,9,4934,4948,0.62,3753.31,0.0186
268,32,3948,4023,3.17,3682.3,0.0183
269,39,981,992,0.5,3680.03,0.0183
270,39,490,535,1.92,3676.65,0.0183
271,2,5917,5942,1.08,3619.17,0.018
272,25,4238,4261,1.0,3612.78,0.0179
273,30,4190,4235,1.92,3547.48,0.0176
274,21,1121,1135,0.62,3540.12,0.0176
275,43,5702,5749,2.0,3521.24,0.0175
276,11,4959,4959,0.04,3506.51,0.0174
277,12,4936,4959,1.0,3441.85,0.0171
